,host_response_rate,beds,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
14385,1.0,1.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.67,4.67,5.0,5.0,5.0,5.0,4.8,0.19
14386,0.9,2.0,1.6,4.0,1125.0,1125.0,4.0,1125.0,5.0,4.83,4.5,5.0,5.0,4.83,4.67,0.4
14387,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.8,4.96,4.52,4.96,4.92,4.84,4.72,1.62
14388,0.99,2.0,2.0,1.9,1125.0,1125.0,3.4,1125.0,4.73,4.82,5.0,4.64,5.0,4.82,4.73,0.71
14389,1.0,1.6,1.6,1.9,365.0,365.0,1.8,365.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.12
14390,1.0,1.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.8,4.9,4.8,4.9,4.9,4.9,4.8,0.76
14391,0.95,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,5.0,4.93,5.0,5.0,4.86,4.93,4.86,0.86
14392,1.0,1.6,1.0,2.0,60.0,60.0,1.9,60.0,4.75,4.75,5.0,5.0,5.0,4.75,5.0,0.34
14393,0.9,1.0,1.0,2.0,1125.0,1125.0,1.3,1125.0,4.61,4.68,4.68,4.68,4.71,4.68,4.61,1.99
14394,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.63,4.68,4.74,4.76,4.83,4.52,4.72,1.4
14395,1.0,3.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.97,5.0,4.97,5.0,5.0,4.97,5.0,1.77
14396,0.9,2.0,1.6,1.9,1125.0,1125.0,1.8,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06
14397,1.0,2.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.89,4.89,4.95,4.91,4.88,5.0,4.81,3.74
14398,1.0,1.6,1.0,2.0,60.0,60.0,2.0,60.0,5.0,5.0,5.0,4.5,5.0,4.5,5.0,0.15
14399,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.67,4.8,4.79,4.87,4.84,4.55,4.8,1.4
14400,0.93,3.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,0.12
14401,1.0,1.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.33,4.67,5.0,4.9,4.67,4.67,4.67,0.19
14402,1.0,3.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.83,4.92,5.0,4.92,4.92,4.75,4.92,0.8
14403,1.0,3.0,2.0,4.0,1125.0,1125.0,2.1,1125.0,4.8,4.52,4.72,4.9,4.9,4.6,4.44,1.62
14404,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.69,4.72,4.81,4.93,4.86,4.59,4.74,1.4
14405,0.99,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.89,4.66,4.86,4.91,4.97,4.91,4.77,2.12
14406,1.0,1.0,1.6,1.9,365.0,365.0,1.8,365.0,4.88,5.0,4.88,5.0,4.88,4.88,4.75,0.58
14407,0.96,3.0,1.0,1.0,365.0,365.0,1.0,365.0,5.0,4.83,4.92,5.0,5.0,4.75,4.92,0.86
